learning_rate,gamma,batch_size,lr_schedule,source_source/avg_return,source_target/avg_return,target_target/avg_return
0.005,0.99,512.0,linear,233.923583984375,373.2370910644531,357.32196044921875
0.001,0.99,512.0,constant,292.6616516113281,299.9476013183594,462.3318176269531
0.002,0.9,256.0,linear,346.345703125,343.2997741699219,369.0622863769531
0.002,0.99,128.0,constant,389.8566589355469,386.8769836425781,508.3045959472656
0.005,0.99,128.0,constant,450.5286560058594,450.1258850097656,564.0531616210938
0.001,0.99,256.0,constant,400.82196044921875,395.5965881347656,783.0048217773438
0.002,0.99,512.0,linear,431.4882507324219,418.9985046386719,299.40093994140625
0.002,0.9,128.0,constant,328.5149230957031,351.5977783203125,265.25604248046875
0.005,0.99,256.0,constant,1356.33154296875,772.4520263671875,712.9990844726562
0.002,0.9,512.0,constant,332.9322509765625,365.5386657714844,327.10614013671875
0.001,0.9,128.0,linear,275.30419921875,291.6338195800781,292.4095764160156
0.002,0.99,256.0,constant,876.8397827148438,743.2562866210938,504.41448974609375
0.002,0.9,256.0,constant,362.6787109375,369.2691345214844,269.0343322753906
0.005,0.9,512.0,linear,313.6379699707031,279.7546691894531,347.98077392578125
0.005,0.99,128.0,linear,72.483642578125,452.99285888671875,610.0166015625
0.005,0.99,512.0,constant,533.2733154296875,489.7793273925781,1021.041259765625
0.001,0.9,256.0,linear,374.0823059082031,378.7708740234375,273.5772399902344
0.001,0.99,256.0,linear,411.46240234375,432.0989685058594,400.5276794433594
0.001,0.9,512.0,constant,350.3683776855469,353.8872375488281,273.31256103515625
0.001,0.99,512.0,linear,331.6270446777344,335.0006103515625,391.3280029296875
0.005,0.99,256.0,linear,176.4584503173828,177.1431427001953,339.4798889160156
0.005,0.9,256.0,linear,179.84762573242188,184.3759307861328,182.56411743164062
0.002,0.99,128.0,linear,1478.49951171875,881.611083984375,705.7650146484375
0.002,0.99,512.0,constant,362.7820739746094,373.7295837402344,291.97308349609375
0.002,0.9,128.0,linear,173.3536834716797,188.63369750976562,333.32122802734375
0.001,0.99,128.0,constant,853.9471435546875,775.8876953125,461.1770324707031
0.005,0.9,256.0,constant,114.15514373779297,221.9263153076172,180.3334197998047
0.001,0.9,512.0,linear,166.8529815673828,174.4025115966797,246.27297973632812
0.005,0.9,128.0,constant,51.4923210144043,48.0960578918457,325.03753662109375
0.001,0.9,256.0,constant,262.2220764160156,271.9154052734375,451.6761779785156
0.005,0.9,512.0,constant,396.9322814941406,414.1600646972656,378.54534912109375
0.005,0.9,128.0,linear,267.3009033203125,278.87261962890625,333.2345886230469
0.002,0.9,512.0,linear,321.101806640625,331.73974609375,344.1236572265625
0.001,0.9,128.0,constant,263.8295593261719,319.89923095703125,373.2183532714844
0.002,0.99,256.0,linear,253.4541473388672,336.64453125,300.30377197265625
0.001,0.99,128.0,linear,324.4727783203125,341.71661376953125,223.93678283691406
